CalonMahasiswaID	NamaLengkap	TempatLahir	NIK	Email	JenisKelamin	Alamat
10173	Fathira Aulia Rahmani	Kota Administrasi Jakarta Timur	596513198666263	hzulaika@example.net	Laki-laki	Kota Surabaya, Jawa Timur
10174	Lusi Nawang Lestari	Bima	559321064362536	mila48@example.org	Laki-laki	Kabupaten Pasuruan, Jawa Timur
10175	Umdah Naja Ummi Ruhana	Denpasar	559568607826506	kawacapratiwi@example.com	Laki-laki	Kota Medan, Sumatera Utara
10176	Aqila Raina Nararya	Palangkaraya	594018510138828	dartono33@example.com	Laki-laki	Kabupaten Blitar, Jawa Timur
10177	Ella Nuraini	Palu	520680909216891	sabrinawinarno@example.org	Perempuan	Kota Bogor, Jawa Barat
10178	Adhan Bima Praditya	Madiun	549157868289211	calista51@example.net	Perempuan	Kabupaten Tabanan, Bali
10179	Fihriz Ilham Rabbany	Batam	574372713408758	esafitri@example.com	Perempuan	Kabupaten Tangerang, Banten
10180	Ardhian Pramudya Kayu Wangi	Pontianak	597277755096716	maulanaeluh@example.com	Perempuan	Kota Surabaya, Jawa Timur
10181	Em Syahdu Aflahis Salam El Wanda	Cilegon	553619147843665	lpertiwi@example.com	Perempuan	Kabupaten Purwakarta, Jawa Barat
10182	Febiola Gloria Puspa	Bitung	564819721412503	ihandayani@example.org	Perempuan	Kabupaten Jembrana, Bali
10183	Rafi Andromeda Pratama	Probolinggo	598821709924534	itamba@example.net	Perempuan	Kabupaten Indramayu, Jawa Barat
10184	Dina Nur Afifah	Metro	522683069410244	emongnajmudin@example.net	Perempuan	Kabupaten Pasuruan, Jawa Timur
10185	Andika Laksana Putra	Bogor	500259916062756	kusumagunawan@example.com	Laki-laki	Kota Malang, Jawa Timur
10186	Sandrina Mutiara Zaen	Pagaralam	585706542494965	ezulaika@example.com	Laki-laki	Kota Bogor, Jawa Barat
10187	Rafif Bani Sandya	Pasuruan	538097951460856	oni97@example.net	Perempuan	Kabupaten Indramayu, Jawa Barat
10188	Alfian Samudra Pramudhita	Prabumulih	583430495538676	hutagalungismail@example.org	Perempuan	Kabupaten Jembrana, Bali
10189	Aisha Risma Putri	Yogyakarta	558422197081626	indra61@example.org	Perempuan	Kabupaten Bangli, Bali
10190	Melinda Rahmawati	Probolinggo	530274663412135	lukitaharyanti@example.net	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10191	Jonathan Manuel Alessandro	Kota Administrasi Jakarta Utara	551972228901319	knovitasari@example.org	Laki-laki	Kota Bogor, Jawa Barat
10192	Fatin Hazimah	Bandar Lampung	592419985940462	gsusanti@example.net	Perempuan	Kabupaten Purwakarta, Jawa Barat
10193	Sabrina Zilza Fahyat	Bekasi	564280011200750	sabri02@example.com	Perempuan	Kabupaten Pati, Jawa Tengah
10194	Choirul Anam	Metro	515853657769639	ichazulkarnain@example.com	Perempuan	Kota Surakarta, Jawa Tengah
10195	Angela Anugrah Parea Sari	Banjarmasin	509752557644488	jailanipanca@example.net	Laki-laki	Kota Surakarta, Jawa Tengah
10196	Puput Putri Prihatina	Pariaman	542978753454567	qbudiman@example.org	Perempuan	Kabupaten Tabanan, Bali
10197	Mochammad Rifai Sodhikin	Semarang	513511914138119	harsantozulkarnain@example.org	Perempuan	Kota Mojokerto, Jawa Timur
10198	Erawan Faqih Ibrahim	Kota Administrasi Jakarta Pusat	588843599701342	pertiwisoleh@example.net	Perempuan	Kabupaten Purwakarta, Jawa Barat
10199	Rara Aprilia Syahrani	Bau-Bau	548519725334738	legawa46@example.org	Laki-laki	Kota Surabaya, Jawa Timur
10200	Davina Panorama Viradhika	Bau-Bau	570382116745592	yrahayu@example.net	Perempuan	Kota Medan, Sumatera Utara
10201	Dwi Kartika Sari	Sorong	597594178736345	raihan83@example.net	Perempuan	Kota Mojokerto, Jawa Timur
10202	Muhammad Muzaki Zhafran	Palangkaraya	509664897397421	cemplunksihotang@example.com	Laki-laki	Kota Surakarta, Jawa Tengah
10203	Pitcinini Cantika Haurum Fitrianingsih	Palopo	582188879669857	dacin41@example.net	Perempuan	Kota Bekasi, Jawa Barat
10204	Amalia Ristaqul Arisandy	Banda Aceh	533298383740760	prabowo55@example.com	Laki-laki	Kabupaten Indramayu, Jawa Barat
10205	Shafira Husna Rofananda	Kota Administrasi Jakarta Pusat	549963416530668	vagustina@example.net	Laki-laki	Kota Tegal, Jawa Tengah
10206	Angelica Benedict Setyadi	Sukabumi	541474066873695	vkuswoyo@example.org	Perempuan	Kota Mojokerto, Jawa Timur
10207	Kholil Mustofa Al Muluk	Dumai	553733021048511	utamipranawa@example.net	Laki-laki	Kota Tasikmalaya, Jawa Barat
10208	Wildan Muhammad Esfahan	Samarinda	596629349874857	zulkarnaindartono@example.org	Perempuan	Kabupaten Pasuruan, Jawa Timur
10209	I Made Ricky Sudarnata	Sawahlunto	577703291276225	cahyalestari@example.org	Laki-laki	Kabupaten Pati, Jawa Tengah
10210	Moch. Arga Brilliantsyah Putra	Jayapura	561835046281895	karya35@example.net	Perempuan	Kota Surakarta, Jawa Tengah
10211	Firda Rachmawati	Samarinda	538114507802839	wirdasaputra@example.com	Perempuan	Kabupaten Purwakarta, Jawa Barat
10212	Latifatul Khumairoh	Sorong	542410821098271	gangsar07@example.org	Perempuan	Kota Madiun, Jawa Timur
10213	Muhammad Rafif Tri Risqullah	Pasuruan	575384472547604	thamrindarsirah@example.org	Perempuan	Kabupaten Badung, Bali
10214	Oktavia Anggraeni Puspaningrum	Mataram	536293383524323	lwaskita@example.net	Perempuan	Kota Malang, Jawa Timur
